CPU,RAM(GB),GPU,vRAM(GB),Package,Target,Width (n),Depth,Shots,Probability n x |0>,Probability n x |1>,Time (s)
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,10000,0.499,0.501,0.013538837432861328
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,100000,0.50192,0.49808,0.025523900985717773
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,100000,0.49922,0.50078,0.024630308151245117
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,100000,0.49985,0.50015,0.023239850997924805
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,100000,0.49936,0.50064,0.023571491241455078
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,100000,0.49926,0.50074,0.023929119110107422
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,100000,0.50091,0.49909,0.023845911026000977
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,100000,0.50136,0.49864,0.02362823486328125
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,100000,0.4997,0.5003,0.02370905876159668
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,100000,0.49538,0.50462,0.023442506790161133
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,100000,0.49729,0.50271,0.02356743812561035
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,1000000,0.499732,0.500268,0.1474590301513672
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,1000000,0.500609,0.499391,0.1492171287536621
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,1000000,0.500953,0.499047,0.14861607551574707
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,1000000,0.499872,0.500128,0.14720749855041504
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,1000000,0.499275,0.500725,0.14794588088989258
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,1000000,0.500098,0.499902,0.14902758598327637
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,3,3,1000000,0.499728,0.500272,0.15003633499145508
